Keyword Version: 8.5,Revision: 2018-02-09 13:07:18,Timestamp: 2018-02-15 08:42:56,Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse,"The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml""Case native",,,
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,NITROUS OXIDE,,,bc90bc40-2a21-4a6f-9fb9-bf3ae5845157
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,PARTICULATE MATTER,MICROPARTICLE CONCENTRATION,,84b443b5-91d3-42d2-a48b-d2e157a39d5b
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,PARTICULATE MATTER,,,15fdef7c-7fb7-4a1d-a24b-01164a8ba11a
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,VOLCANIC DEPOSITS,,,c736e45d-63f2-428b-abae-48f79d007703
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,ICE CORE RECORDS,,,,08a4f002-f368-414d-b923-83dd498452d8
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,BOREHOLES,,,f1f84fc8-d242-4f97-bb7d-77b68631273e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,CAVE DEPOSITS,,,482453d7-ffa4-4ae9-8158-9fa73bcf39ef
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,FIRE HISTORY,CHARCOAL SEDIMENT,,a090a598-3ae6-4fc4-b248-97ec5226702a
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,FIRE HISTORY,FIRE SCAR DATE,,c9ba3275-2fe3-4619-b7c0-881d4f6fa34e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,FIRE HISTORY,,,d2dc2330-0433-43f2-9154-dc399d24406c
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,GLACIAL RETREAT,,,2f257f83-bddd-41ce-ac78-5dac857b1be3
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,GLACIATION,,,3dfa8dcf-0df2-4654-ae3e-c97586265c3e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,ISOTOPES,,,7557eddd-db2a-4f39-b1e2-91162f4fc92e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,LOESS,,,e0d88b2a-8563-443b-8756-73d744a41ee7
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,PALEOMAGNETIC DATA,,,219ba382-6c90-43d2-a6cf-2ddcc358f70e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,PALEOSOLS,,,4fe601b0-314f-4f63-8ec1-3b96cc7263b8
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,RADIOCARBON,,,8f4e90e0-aea0-40cd-b781-a6a69a6e6cb3
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,SEDIMENTS,SEDIMENT THICKNESS,,0d8fc6d8-eba5-4da1-9a78-d69c23d9d78d
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,SEDIMENTS,,,0960827a-ecdb-40a0-babc-fbd6df27bb53
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,STRATIGRAPHIC SEQUENCE,,,d845886d-0c44-4505-b5b9-d3fcd819208e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,VOLCANIC DEPOSITS,,,52325c6e-1084-43c1-83b2-278bbe0201c6
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,LAND RECORDS,,,,2bedb6b3-6e92-42e2-b382-60e2a6aab8e9
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,MASS EXTINCTIONS,,,,703d0c14-1978-4e7f-a51a-233c695823b9
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,BOREHOLES,,,8f8c1808-ac5f-43e5-8397-dbb3d171144c
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,CORAL DEPOSITS,,,47d6c670-db83-4975-b684-1be787811ac8
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,ISOTOPES,,,dc02e5fb-9ff3-483d-8c33-18db25a07eea
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,LAKE LEVELS,,,2c99427c-1a6a-4326-b072-0c12c87bd944
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,MACROFOSSILS,,,11e12021-f63e-4081-ae78-1bb19fe7b4bf
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,MICROFOSSILS,,,6d00c961-de64-40ed-becd-3a95cae182e3
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,OXYGEN ISOTOPES,,,9713a1d5-8b03-4d38-b3b6-34578a1d5f39
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,PALEOMAGNETIC DATA,,,7ee90f7c-bdc6-403a-b447-2100d573cad6
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,POLLEN,,,fe06f678-7155-4f93-9e28-4c083d60cccc
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,RADIOCARBON,,,a389bcd6-929d-43ac-9af1-5a20a4ddcbe2
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,SEDIMENTS,SEDIMENT THICKNESS,,6fb40553-a2ef-465a-b7d2-3401e3bfceac
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,SEDIMENTS,,,b3764016-0b5d-48fb-be3e-4f1082cf13e7
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,STRATIGRAPHIC SEQUENCE,,,417a6538-f89e-4f73-a89a-c2e5d2cd7667
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,VARVE DEPOSITS,,,9db3b1cb-0d3d-4486-bf56-1e96b8691b01
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OCEAN/LAKE RECORDS,,,,5237fae3-c98e-4d4a-9013-d7c824b3862b
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,OXYGEN ISOTOPE ANALYSIS,,,,2f2d4df2-0701-4fe1-9d9b-e7e1c8678a8f
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE FORCING,CARBON DIOXIDE FORCING,,,e0867ff5-2eb4-4959-b874-ac37c1b407e0
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE FORCING,ORBITAL CHANGE FORCING,,,7cc62051-537c-4399-b9b9-b59c1a3e0773
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE FORCING,SOLAR FORCING,,,250ce118-46e7-4dec-9e44-8054c9318cff
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE FORCING,VOLCANIC FORCING,,,78c47e38-e842-4e31-81b2-44f44c52c692
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE FORCING,,,,dc3f297b-8471-4101-b70e-dc5765762061
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,AIR TEMPERATURE RECONSTRUCTION,,,89e5b8c9-ef72-4e21-83c8-a7552f6871a4
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,ATMOSPHERIC CIRCULATION RECONSTRUCTION,,,555b048d-8904-4a62-a85a-3af1aa14674e
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,DROUGHT/PRECIPITATION RECONSTRUCTION,,,06bcba40-6046-4c0e-aa38-8f83410b93f0
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,GROUND WATER RECONSTRUCTION,,,9f687ff2-52c0-496b-9a81-503a8c207823
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,LAKE LEVEL RECONSTRUCTION,,,ec4c1ae2-53f4-40ca-b0c3-e145f00e2583
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,OCEAN SALINITY RECONSTRUCTION,,,1ba98ab7-dee3-4b15-aea1-179ecd8f6e7d
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,SEA LEVEL RECONSTRUCTION,,,b51093c5-5997-410c-899d-98d15ab5f5cc
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,SEA SURFACE TEMPERATURE RECONSTRUCTION,,,facdb262-04eb-47f9-b46e-ba7a379722ec
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,SEDIMENTS,SEDIMENT THICKNESS,,88735956-6d46-41e1-8cbb-5dba20c33d8c
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,SEDIMENTS,,,3b4ea1db-bb93-4eb8-ac08-4880a3a5e6d2
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,SOLAR FORCING/INSOLATION RECONSTRUCTION,,,fec6c2e4-ca15-426a-b344-36bba69e5c1f
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,STREAMFLOW RECONSTRUCTION,,,cde7aacb-0204-4a84-afcb-279cc3d0870c
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,VEGETATION RECONSTRUCTION,,,c1c1890d-a6b0-4482-836b-a4b8ed0beee8
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PALEOCLIMATE RECONSTRUCTIONS,,,,6f6423e8-ab4e-4572-8982-d9c40f64e28b
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PERMAFROST/METHANE RELEASE,,,,478092f3-7cdd-4136-84ec-cebf0d539480
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,PLATE TECTONICS,,,,6971fecc-af14-4c97-82db-2b01c98453b9
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,SPELEOTHEMS,,,,1cbefa2a-484e-4742-ad3d-d347d27272bd
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,VOLCANIC ACTIVITY,,,,08bc1b7d-b27b-43e2-a728-4939efb88f08
EARTH SCIENCE,CLIMATE INDICATORS,PALEOCLIMATE INDICATORS,,,,,c9a5b3eb-7556-41a8-a2b8-c015db80e5b2
EARTH SCIENCE,CLIMATE INDICATORS,SUN-EARTH INTERACTIONS,SUNSPOT ACTIVITY,LENGTH OF THE SOLAR CYCLE,,,22c14e35-48a4-40b5-a503-add48c2d4cd4
EARTH SCIENCE,CLIMATE INDICATORS,SUN-EARTH INTERACTIONS,SUNSPOT ACTIVITY,SOLAR FLUX,,,3b230650-68ff-4e7a-9273-6e0b1083bdfa
EARTH SCIENCE,CLIMATE INDICATORS,SUN-EARTH INTERACTIONS,SUNSPOT ACTIVITY,,,,3429bc72-0780-44c8-9743-92f84118279d
EARTH SCIENCE,CLIMATE INDICATORS,SUN-EARTH INTERACTIONS,,,,,3d64c047-c4fb-4981-bc91-d5dbc22337de
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,FRESHWATER RUNOFF,,,,915399a1-eb5b-475b-ae9a-ff45f1dcddc9
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,MOUNTAIN SNOW LINE SHIFT,,,,56e7e412-b354-4ef4-8742-f1f5681c378a
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,PERMAFROST MELT,,,,ed0501c5-310c-42ab-b1eb-66e211f22803
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,RIVER/LAKE ICE BREAKUP,,,,64baed75-e3c0-4495-9bc9-c5b9373670f6
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,RIVER/LAKE ICE FREEZE,,,,2adde197-3f0f-4eda-ae00-a337dfa853c3
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,SNOW COVER DEGRADATION,,,,994cc55d-b789-4f03-98dc-4cd0f58ad12a
EARTH SCIENCE,CLIMATE INDICATORS,TERRESTRIAL HYDROSPHERE INDICATORS,,,,,9246fc12-17e7-4473-b9c0-c23e4bfc4eda
EARTH SCIENCE,CLIMATE INDICATORS,,,,,,23703b6b-ee15-4512-b5b2-f441547e2edf
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,ACTIVE LAYER,,,,2e544263-d92f-46c2-9568-25e36d0b9825
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,CRYOSOLS,,,,0cd7a96f-46e1-4d86-93d0-9cbb6fda61e3
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,GROUND ICE,,,,4931dcac-8b89-4bc9-ba59-469cfdcf6f12
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,PERIGLACIAL PROCESSES,,,,097a0fad-d822-49ad-bd12-232e9ea7cb30
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,PERMAFROST,PERMAFROST TEMPERATURE,,,d8606e80-3d34-4540-a355-5f99737f7ab7
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,PERMAFROST,,,,c82f3480-545f-4491-83f1-0477369ddcd8
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,ROCK GLACIERS,,,,b1ce822a-139b-4e11-8bbe-453f19501c36
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,SEASONALLY FROZEN GROUND,,,,2a109b2f-947a-4c2c-9db9-ae315a53ef93
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,SOIL TEMPERATURE,,,,021714ad-1cae-441c-bb6f-4be866a0f742
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,TALIK,,,,78e5e44c-7832-456d-a599-893ea87ae695
EARTH SCIENCE,CRYOSPHERE,FROZEN GROUND,,,,,376a1d5c-2496-4381-981f-bc047af92044
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ABLATION ZONES/ACCUMULATION ZONES,,,,95fbaefd-1afe-4887-a1ba-fc338a8109bb
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,AGE AT ICE-THICKNESS-NORMALIZED DEPTHS,,,,ab4b800d-820f-40cc-bb01-4e8835368d04
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,AGE OF INTERNAL REFLECTIONS,,,,9ce536e1-06c8-4817-af5f-b625cfe571a7
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,BASAL SHEAR STRESS,,,,68d0f29d-cf46-4f8c-8cad-83817a7093bc
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,DEPTHS AT SPECIFIC AGES,,,,70541b66-c911-47fb-a99a-5638a9cb55d4
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,FIRN,,,,6159b9d9-4aa5-4dec-8146-0e47751449ff
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GEOMETRY OF INTERNAL REFLECTIONS,,,,ab319cdf-a34c-446c-9fc0-27605048364e
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER ELEVATION/ICE SHEET ELEVATION,,,,13bf19c5-087f-4fe0-87ea-ef6f7ecd5444
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER FACIES,,,,399a84d1-ccf5-4167-a699-15eb7d1ad1e6
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER MASS BALANCE/ICE SHEET MASS BALANCE,,,,9f408faa-a427-44e9-a194-b1b9caff1e6d
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER MOTION/ICE SHEET MOTION,,,,73f3c797-2eed-4f0d-accf-7e8a36a3fa93
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER THICKNESS/ICE SHEET THICKNESS,,,,5034ba1f-7208-40a1-beeb-43aefe1c0c33
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY,,,,bf19f1d1-ae18-4ff2-95f6-dc0ed812c568
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,GLACIERS,,,,68eed887-8008-4352-b420-949457ab59ab
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ICE SHEETS,ICE SHEET MEASUREMENTS,RIFTS,,8a8fa93e-6424-46dd-ae97-d8afbac41b89
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ICE SHEETS,ICE SHEET MEASUREMENTS,,,6d6a2b61-5d2c-4ec1-a164-34000f481588
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ICE SHEETS,SURFACE MORPHOLOGY,,,94402f47-38ea-4798-98da-ea17599e092f
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ICE SHEETS,,,,10b1872b-4a48-4360-a449-388e8988bca9
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,ICEBERGS,,,,4d95ccc8-3ef9-40df-85e7-db36cb815499
EARTH SCIENCE,CRYOSPHERE,GLACIERS/ICE SHEETS,,,,,8603db51-3484-4439-8b3b-a06f48e8c686
EARTH SCIENCE,CRYOSPHERE,SEA ICE,FREEBOARD,,,,a4466cbe-b991-427b-97b8-fdc284b9ef21
EARTH SCIENCE,CRYOSPHERE,SEA ICE,HEAT FLUX,,,,5569b7a3-3a4b-4799-8c68-98126757074b
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE DEFORMATION,,,,1009557b-0d4b-4c13-81a0-fd95c15bf158
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE DEPTH/THICKNESS,,,,c7708bb6-a0fa-4905-b99d-c468da7d951a
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE EDGES,,,,5fa04fa9-06c7-41c7-98f9-f92756f080ea
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE EXTENT,,,,63b37017-9d57-4247-af4e-2df36ee3ed03
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE FLOES,,,,af0d756e-784e-4747-97d0-3425baf5d09b
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE GROWTH/MELT,,,,d9667e73-30db-45f9-861c-e0a5caaf2bf0
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE ROUGHNESS,,,,ce3a1edd-a2fe-4efd-8971-9dd7b97b6d79
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE TEMPERATURE,,,,f6e7aa9a-ae65-480e-84fa-b3a5d523e822
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICE TYPES,,,,6bfd4d52-fad4-470f-9da0-fa7df2a5b4aa
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ICEBERGS,,,,1efe6ac1-d375-44c3-b8ec-d0ff2987a881
EARTH SCIENCE,CRYOSPHERE,SEA ICE,ISOTOPES,,,,f0d4b06b-c498-4760-bc92-877e28f3a098
EARTH SCIENCE,CRYOSPHERE,SEA ICE,LEADS,,,,4f0f606c-6bf8-4b8c-9431-d5696fe8a5f2
EARTH SCIENCE,CRYOSPHERE,SEA ICE,PACK ICE,,,,5d7ea074-225b-4221-b122-e6a085cdce24
EARTH SCIENCE,CRYOSPHERE,SEA ICE,POLYNYAS,,,,70acf223-7895-4cbe-aca6-815babb2b7ed
EARTH SCIENCE,CRYOSPHERE,SEA ICE,REFLECTANCE,,,,cece77b6-42bf-44f6-9193-050cbc5f4cf7
EARTH SCIENCE,CRYOSPHERE,SEA ICE,SALINITY,,,,6bc39a6d-cc60-467a-9181-d8b4e02a1cb0
EARTH SCIENCE,CRYOSPHERE,SEA ICE,SEA ICE AGE,,,,3488309d-ef21-4d60-81a3-78fb99ffa756
EARTH SCIENCE,CRYOSPHERE,SEA ICE,SEA ICE CONCENTRATION,ICE FRACTION,,,a3f36d7c-4eed-4d7a-8902-a5fcdc1b6261
EARTH SCIENCE,CRYOSPHERE,SEA ICE,SEA ICE CONCENTRATION,,,,8012fda7-3ea4-4ef2-bb4e-0f66d4d9e850
